instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,NOTES,courses,Unnamed: 32,Unnamed: 33,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿stl.mo.0001,﻿church,﻿Cathedral,﻿English and French,"﻿On Sunday, besides the high Mass at 10 o'clock, at which there is an English and a French sermon alternately, there is Mass and a sermon in the German language at 9 o'clock. After Vespers, there is a meeting of the Confraternity of the Rosary.",,,,﻿St. Louis County,﻿St. Louis,﻿St. Louis,﻿MO,﻿MO,38.64254815,-90.25465453,,,,﻿jos_rosati_901,﻿Right Rev.,﻿Joseph Rosati,﻿D. D.,,,,,,,1838,,,,,﻿,﻿,﻿StLouis,StLouis
﻿stl.mo.0001,﻿church,﻿Cathedral,﻿English and French,"﻿On Sunday, besides the high Mass at 10 o'clock, at which there is an English and a French sermon alternately, there is Mass and a sermon in the German language at 9 o'clock. After Vespers, there is a meeting of the Confraternity of the Rosary.",,,,﻿St. Louis County,﻿St. Louis,﻿St. Louis,﻿MO,,38.64254815,-90.25465453,,,,,﻿Rev.,﻿Joseph A. Lutz,,,,,,,,1838,,,,,﻿,﻿,﻿StLouis,StLouis
﻿stl.mo.0001,﻿church,﻿Cathedral,﻿English and French,"﻿On Sunday, besides the high Mass at 10 o'clock, at which there is an English and a French sermon alternately, there is Mass and a sermon in the German language at 9 o'clock. After Vespers, there is a meeting of the Confraternity of the Rosary.",,,,﻿St. Louis County,﻿St. Louis,﻿St. Louis,﻿MO,,38.64254815,-90.25465453,,,,,﻿Rev.,﻿James Fontbonne,,,,,,,,1838,,,,,﻿,﻿,﻿StLouis,StLouis
﻿stl.mo.0001,﻿church,﻿Cathedral,﻿English and French,"﻿On Sunday, besides the high Mass at 10 o'clock, at which there is an English and a French sermon alternately, there is Mass and a sermon in the German language at 9 o'clock. After Vespers, there is a meeting of the Confraternity of the Rosary.",,,,﻿St. Louis County,﻿St. Louis,﻿St. Louis,﻿MO,,38.64254815,-90.25465453,,,,,﻿Rev.,﻿Francis B. Jamison,,,,,,,,1838,,,,,﻿,﻿,﻿StLouis,StLouis
﻿stl.mo.0001,﻿church,﻿Cathedral,﻿English and French,"﻿On Sunday, besides the high Mass at 10 o'clock, at which there is an English and a French sermon alternately, there is Mass and a sermon in the German language at 9 o'clock. After Vespers, there is a meeting of the Confraternity of the Rosary.",,,,﻿St. Louis County,﻿St. Louis,﻿St. Louis,﻿MO,,38.64254815,-90.25465453,,,,,﻿Rev.,﻿John Peter Fischer,,,,,,,,1838,,,,,﻿,﻿,﻿StLouis,StLouis
﻿stl.mo.0148_02,﻿chapel,﻿Chapel of the University,English,﻿Sermon in English,﻿St. Louis University,,,,﻿St. Louis,,﻿MO,,38.64254815,-90.25465453,,﻿attended by the Rev. gentlemen of the institution,,,,,,,,,,,,1838,,,,,﻿,﻿,﻿StLouis,StLouis
﻿stl.mo.9008_02,﻿chapel,﻿Chapel of the Convent,English,,,,,,,,,,38.64254815,-90.25465453,,,,,,,,,,,,,,1838,,,,,﻿,﻿,﻿StLouis,StLouis
﻿stl.mo.9032_02,﻿chapel,﻿Chapel of St. Vincent of Paul,English,,,,,,,,,,38.64254815,-90.25465453,,,,,,,,,,,,,,1838,,,,,﻿,﻿,﻿StLouis,StLouis
﻿stl.mo.0148_03,﻿chapel,﻿Chapel of St. Francis Xavier,English,,,,,,,,,,38.64254815,-90.25465453,,,,,﻿Rev.,﻿James G. Busschots,,,,,,,,1838,,,,,﻿,﻿,﻿StLouis,StLouis
﻿stl.mo.0037,﻿church,﻿St. Joseph's,"﻿Every Sunday in English, occasionally in German",,﻿Apple Creek settlement,,,﻿Perry County,,﻿Apple Creek,﻿MO,﻿MO,37.61339343,-89.75142333,,,,﻿jos_wiseman_901,﻿Rev.,﻿Joseph Wiseman,,,,,,,,1838,﻿https://www.archstl.org/parish/st-joseph-apple-creek/,,,,﻿,﻿,﻿StLouis,StLouis
﻿stl.mo.9007_02,﻿church,﻿St. Mary's,English,,,,,,﻿Barrens,,﻿MO,,37.61339343,-89.75142333,,,,,﻿Rev.,﻿Blasius J. Raho,,,,,,,,1838,﻿Likely the church at St. Mary's College,,,,﻿,﻿,﻿StLouis,StLouis
﻿stl.mo.0046,﻿church,﻿St. Vincent's,﻿Sermon in English,,,,﻿Cape Girardeau County,,﻿Cape Girardeau,﻿Cape Girardeau,﻿MO,,38.806726,-90.354443,,﻿attended from St. Mary's Seminary,,﻿joh_rosti_901,﻿Rev.,﻿John Rosti,﻿C.M.,,,,,,,1838,,,,,﻿,﻿,﻿StLouis,StLouis
﻿stl.mo.9000,﻿church,﻿Church of our Lady of Mount Carmel,﻿Sermon in French and occasionally English,﻿Commonly called Vide-Poche.,,,﻿St. Louis County,﻿St. Louis County,﻿Carondelet,﻿St. Louis,﻿MO,﻿MO,38.5579011,-90.24998076,,,,﻿edm_saulnier_901,﻿Rev.,﻿Edmund Saulnier,,,,,,,,1838,,,,,﻿,﻿,﻿StLouis,StLouis
﻿stl.mo.9000,﻿chapel,﻿Church of our Lady of Mount Carmel,﻿Sermon in English,﻿Chapel of St. Stanislas,﻿at the Novitiate of the Society of Jesus,,﻿St. Louis County,﻿St. Louis County,﻿Carondelet,﻿St. Louis,﻿MO,,38.5579011,-90.24998076,,,,,﻿Rev.,﻿Theodore De Theux,﻿S.J.,,,,,,,1838,,,,,﻿,﻿,﻿StLouis,StLouis
﻿stl.mo.9001,﻿church,﻿St. Peter's,﻿Sermon in English and German,,,,﻿St. Charles County,﻿St. Charles County,﻿Dardenne,﻿Dardenne Prairie,﻿MO,﻿MO,38.75765244,-90.74398902,,,,﻿c_w_waters_901,﻿Rev.,﻿C. W. Waters,﻿S.J.,,﻿This Gentleman attends a very large mission in the Upper Counties of the State,,,,,1838,"﻿https://en.wikipedia.org/wiki/Dardenne_Prairie,_Missouri ; https://genealogytrails.com/mo/stcharles/hist_towns.htm ; These sources say that the present church did not open until 1880, so it is hard to say where this church actually was",,,,﻿,﻿,﻿StLouis,StLouis
