instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿gra.ca.0001,﻿church,not recorded,English,,,,,﻿Yuba County,﻿Marysville,﻿Marysville,﻿CA,﻿CA,,,,,,﻿eug_oconnell_001,﻿Rt. Rev.,﻿Eugene O'Connell,﻿D.D.,,"﻿attend Oroville, Smartsville, Colusi, Foster's Bar, Bear River, Long Bar, Brown's Valley",,,,,1865,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0001,﻿church,not recorded,English,,,,,﻿Yuba County,﻿Marysville,﻿Marysville,﻿CA,,,,,,,﻿den_nugent_001,﻿Rev.,﻿Nugent,,,"﻿attend Oroville, Smartsville, Colusi, Foster's Bar, Bear River, Long Bar, Brown's Valley",,,,,1865,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0003,﻿church,not recorded,English,,,,﻿Sierra County,﻿Sierra County,﻿Alleghany Town,﻿Alleghany,﻿CA,﻿CA,,,﻿gra.ca.0021,﻿church attended from Downiville,﻿once a month,,,,,,,,,,,1865,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0057,﻿church,not recorded,English,,,,﻿Butte County,﻿Butte County,﻿Oroville,﻿Oroville,﻿CA,﻿CA,,,﻿gra.ca.0001,﻿attended from Marysville,,,,,,,,,,,,1865,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0067,﻿church,not recorded,English,,,,﻿Yuba County,﻿Yuba County,﻿Smartsville,﻿Smartsville,﻿CA,﻿CA,,,﻿gra.ca.0001,﻿attended from Marysville,,,,,,,,,,,,1865,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0018,﻿church,not recorded,English,,,,﻿Colusi County,﻿Colusa County,﻿Colusi,﻿Colusa,﻿CA,﻿CA,,,﻿gra.ca.0001,﻿visited from Marysville,,,,,,,,,,,,1865,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0029,﻿church,not recorded,English,,,,﻿Yuba County,﻿Yuba County,﻿Foster's Bar,,﻿CA,﻿CA,,,﻿gra.ca.0001,﻿attended from Marysville,,,,,,,,,,,,1865,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0043,﻿church,not recorded,English,,,,﻿Yuba County,,﻿Johnston's Crossing of Bear River,,﻿CA,﻿CA,,,﻿gra.ca.0001,﻿attended from Marysville,,,,,,,,,,,,1865,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0119,﻿church,not recorded,English,,,,,,﻿Long Bar,﻿Long Bar,﻿CA,﻿CA,,,,﻿attended from Marysville,,,,,,,,,,,,1865,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0007,﻿church,not recorded,English,,,,﻿Yuba County,﻿Yuba County,﻿Brown's Valley,﻿Browns Valley,﻿CA,﻿CA,,,﻿gra.ca.0001,﻿attended from Marysville,,,,,,,,,,,,1865,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0101,﻿church,﻿St. Mary of the Mountain,English,,,,﻿Storey County,﻿Storey County,﻿Virginia City,﻿Virginia City,﻿NV,﻿NV,,,,,,﻿pat_manogue_001,﻿Rev.,﻿P. Manogue,,﻿pastor,,,,,,1865,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0120,﻿church,﻿Immaculate Conception,English,,,,,,﻿Virginia City,﻿Virginia City,﻿NV,﻿NV,,,,,,﻿pet_magagnotto_001,﻿Very. Rev.,﻿Peter Magagnotto,,﻿pastor,,,,,,1865,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0072,﻿church,not recorded,English,,,,﻿Humboldt County,﻿Humboldt County,﻿Table Bluff,﻿Table Bluff,﻿NV,﻿CA,,,,﻿attended by Rev. P. O'Reilly,,,,,,,,,,,,1865,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0074,﻿church,not recorded,English,,,,﻿Trinity County,﻿Trinity County,﻿Trinity Centre,﻿Trinity Center,﻿NV,﻿CA,,,,﻿attended by Rev. P. O'Reilly,,,,,,,,,,,,1865,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0061,﻿church,not recorded,English,,,,﻿Shasta County,﻿Tehama County,﻿Red Bluff,﻿Red Bluff,﻿NV,﻿CA,,,,﻿attended by Rev. P. O'Reilly,,,,,,﻿pastor,,,,,,1865,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0121,﻿church,not recorded,English,,,,﻿Tehama County,,,,﻿NV,﻿CA,,,,﻿attended by Rev. P. O'Reilly,,,,,,,,,,,,1865,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0003,﻿church,not recorded,English,,,,﻿Sierra County,﻿Sierra County,﻿Alleghany Town,﻿Alleghany,﻿NV,﻿CA,,,,,,﻿b_p_morris_001,﻿Rev.,﻿B. P. Morris,,﻿pastor,,,,,,1865,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0021,﻿church,﻿Immaculate Conception,English,,,,﻿Sierra County,﻿Sierra County,,﻿Downieville,﻿NV,﻿CA,,,,,,﻿b_p_morris_001,﻿Rev.,﻿B. P. Morris,,﻿pastor,,,,,,1865,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0026,﻿church,not recorded,English,,,,﻿Sierra County,﻿Sierra County,,﻿Forest,﻿NV,﻿CA,,,,,,﻿b_p_morris_001,﻿Rev.,﻿B. P. Morris,,﻿pastor,,,,,,1865,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0033,﻿church,not recorded,English,,,,﻿Sierra County,﻿Sierra County,,﻿Goodyear's Bar,﻿NV,﻿CA,,,,,,﻿b_p_morris_001,﻿Rev.,﻿B. P. Morris,,﻿pastor,,,,,,1865,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0040,﻿church,not recorded,English,,,,﻿Sierra County,﻿Sierra County,,,﻿NV,﻿CA,,,,,,﻿b_p_morris_001,﻿Rev.,﻿B. P. Morris,,﻿pastor,,,,,,1865,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0051,﻿church,not recorded,English,,,,﻿Sierra County,,,,﻿NV,﻿CA,,,,,,﻿b_p_morris_001,﻿Rev.,﻿B. P. Morris,,﻿pastor,,,,,,1865,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0058,﻿church,not recorded,English,,,,﻿Sierra County,﻿Sierra County,,﻿Poker Flat,﻿NV,﻿CA,,,,,,﻿b_p_morris_001,﻿Rev.,﻿B. P. Morris,,﻿pastor,,,,,,1865,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0059,﻿church,not recorded,English,,,,﻿Sierra County,﻿Sierra County,,,﻿NV,﻿CA,,,,,,﻿b_p_morris_001,﻿Rev.,﻿B. P. Morris,,﻿pastor,,,,,,1865,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0117,﻿church,not recorded,English,,,,﻿Sierra County,﻿Sierra County,,﻿Rabbit Creek,﻿NV,﻿CA,,,,,,﻿b_p_morris_001,﻿Rev.,﻿B. P. Morris,,﻿pastor,,,,,,1865,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0069,﻿church,not recorded,English,,,,﻿Sierra County,﻿Sierra County,,,﻿NV,﻿CA,,,,,,﻿b_p_morris_001,﻿Rev.,﻿B. P. Morris,,﻿pastor,,,,,,1865,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0077,﻿church,not recorded,English,,,,﻿Sierra County,﻿Sierra County,,﻿Whiskey Diggings,﻿NV,﻿CA,,,,,,﻿b_p_morris_001,﻿Rev.,﻿B. P. Morris,,﻿pastor,,,,,,1865,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
