instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿gal.tx.0001,﻿cathedral,﻿St. Mary's Cathedral,English,,,,﻿Galveston County,,﻿Galveston,﻿Galveston,﻿TX,,,,,,,﻿cm_dubuis_001,﻿Rt. Rev.,﻿C.M. Dubuis,﻿D.D.,,,,,,,1868,﻿,﻿,﻿Galveston,Galveston
﻿gal.tx.0001,﻿cathedral,﻿St. Mary's Cathedral,English,,,,﻿Galveston County,,﻿Galveston,﻿Galveston,﻿TX,,,,,,,﻿l_c_chambodut_001,﻿Very Rev.,﻿L. C. M. Chambodut,,﻿Vicar-General,,,,,,1868,﻿,﻿,﻿Galveston,Galveston
﻿gal.tx.0001,﻿cathedral,﻿St. Mary's Cathedral,English,,,,﻿Galveston County,,﻿Galveston,﻿Galveston,﻿TX,,,,,,,,﻿Rev.,,,,,,,,,1868,﻿,﻿,﻿Galveston,Galveston
﻿gal.tx.0002,﻿church,﻿St. Joseph's Church,English,,,,﻿Galveston County,,﻿Galveston,﻿Galveston,﻿TX,,,,,,,﻿j_anstaett_001,﻿Very Rev.,﻿Joseph Anstaett,,﻿Vice-Chancellor,,,,,,1868,﻿,﻿,﻿Galveston,Galveston
﻿gal.tx.0154,﻿college,﻿St. Mary's College,English,,,,﻿Galveston County,,﻿Galveston,,﻿TX,,,,,,,﻿a_krouss_001,﻿Rev.,﻿A. Krouss,,﻿Chaplain,,,,﻿under the care of the Brothers of the Christian Doctrine,,1868,﻿,﻿,﻿Galveston,Galveston
﻿gal.tx.0154,﻿college,﻿St. Mary's College,English,,,,﻿Galveston County,,﻿Galveston,,﻿TX,,,,,,,,﻿Brother,﻿Joachim,,﻿Director,,﻿religious,﻿4 brothers,﻿under the care of the Brothers of the Christian Doctrine,,1868,﻿,﻿,﻿Galveston,Galveston
﻿gal.tx.0158,﻿convent,﻿Ursuline Convent,English,,,,﻿Galveston County,,﻿Galveston,,﻿TX,,,,,,,,﻿Madame,﻿de St. Pierre,,﻿Mother Superior,,﻿religious,﻿19 sisters,,,1868,﻿,﻿,﻿Galveston,Galveston
﻿gal.tx.0158,﻿convent,﻿Ursuline Convent,English,,,,﻿Galveston County,,﻿Galveston,,﻿TX,,,,,,,,,,,,,﻿boarder,﻿75 boarders,,,1868,﻿,﻿,﻿Galveston,Galveston
﻿gal.tx.0158,﻿convent,﻿Ursuline Convent,English,,,,﻿Galveston County,,﻿Galveston,,﻿TX,,,,,,,,,,,,,﻿student,﻿150 day-scholars,,,1868,﻿,﻿,﻿Galveston,Galveston
﻿gal.tx.0003,﻿church,not recorded,English,,,,﻿Grimes County,﻿Grimes County,﻿Anderson,﻿Anderson,﻿TX,,,,﻿gal.tx.0061,﻿attended from Hidalgo Prairie,,,,,,,,,,,,1868,﻿,﻿,﻿Galveston,Galveston
﻿gal.tx.0004,﻿church,not recorded,English,,,,﻿Nacogdoches County,﻿Nacogdoches County,﻿Angelina,,﻿TX,,,,﻿gal.tx.0092,﻿attended from Nacogdoches,,,,,,,,,,,,1868,﻿,﻿,﻿Galveston,Galveston
﻿gal.tx.0005,﻿church,not recorded,English,,,,﻿Cameron County,﻿Cameron County,﻿Arenal,,﻿TX,,,,﻿gal.tx.0023,﻿attended from Brownsville,,,,,,,,,,,,1868,﻿,﻿,﻿Galveston,Galveston
