instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿alt.il.0001,﻿cathedral,﻿Cathedral of SS. Peter and Paul,English,,,,﻿Madison County,﻿Madison County,﻿Alton,﻿Alton,﻿IL,,,,,,,﻿j_janssen_001,﻿Rev.,﻿J. Janssen,,,,,,,,1869,﻿,﻿,﻿Alton,Alton
﻿alt.il.0001,﻿cathedral,﻿Cathedral of SS. Peter and Paul,English,,,,﻿Madison County,﻿Madison County,﻿Alton,﻿Alton,﻿IL,,,,,,,﻿p_dee_001,﻿Rev.,﻿P. Dee,,,,,,,,1869,﻿,﻿,﻿Alton,Alton
﻿alt.il.0001,﻿cathedral,﻿Cathedral of SS. Peter and Paul,English,,,,﻿Madison County,﻿Madison County,﻿Alton,﻿Alton,﻿IL,,,,,,,﻿w_lambert_002,﻿Rev.,﻿W. Lambert,,,,,,,,1869,﻿,﻿,﻿Alton,Alton
﻿alt.il.0002,﻿church,﻿St. Mary's,English,,,,﻿Madison County,﻿Madison County,﻿Alton,﻿Alton,﻿IL,,,,,,,﻿f_ostrop_001,﻿Rev.,﻿Fr. Ostrop,,,,,,,,1869,﻿,﻿,﻿Alton,Alton
﻿alt.il.0003,﻿chapel,﻿Chapel of the Holy Family,English,,,,﻿Madison County,﻿Madison County,﻿Alton,﻿Alton,﻿IL,,,,﻿alt.il.0001,﻿Attended from the Cathedral,,,,,,,,,,,,1869,﻿,﻿,﻿Alton,Alton
﻿alt.il.0004,﻿church,﻿St. Mary's,English,,,,﻿Union County,﻿Union County,﻿Anna,﻿Anna,﻿IL,,,,,,,﻿f_fockele_001,﻿Rev.,﻿F. Fockele,,,,,,,,1869,﻿,﻿,﻿Alton,Alton
﻿alt.il.0005,﻿chapel,﻿St. John Baptist,English,,,,﻿Douglas County,﻿Douglas County,﻿Arcola,﻿Arcola,﻿IL,,,,﻿alt.il.0069,﻿Attended from Mattoon,,,,,,,,,,,,1869,﻿,﻿,﻿Alton,Alton
﻿alt.il.0007,﻿church,﻿Assumption of the Blessed Virgin Mary,English,,,,﻿Christian County,﻿Christian County,﻿Assumption,﻿Assumption,﻿IL,,,,,,,﻿j_a_jacque_001,﻿Rev.,﻿J. A. Jacque,,,,,,,,1869,﻿,﻿,﻿Alton,Alton
﻿alt.il.0008,﻿church,﻿St. Francis of Assisi,English,,,,﻿Clinton County,﻿Clinton County,﻿Aviston,﻿Aviston,﻿IL,,,,,,,﻿h_böcker_001,﻿Rev.,﻿H. Boecker,,,,,,,,1869,﻿,﻿,﻿Alton,Alton
﻿alt.il.0009,﻿church,﻿St. Alexius,English,,,,﻿Cass County,﻿Cass County,﻿Beardstown,﻿Beardstown,﻿IL,,,,,,,﻿a_busch_001,﻿Rev.,﻿A. Busch,,,,,,,,1869,﻿,﻿,﻿Alton,Alton
﻿alt.il.0010,﻿church,﻿St. Peter's,English,,,,﻿St. Clair County,﻿St. Clair County,﻿Belleville,﻿Belleville,﻿IL,,,,,,,﻿p_j_baltes_001,﻿Very Rev.,﻿P. J. Baltes,,,,,,,,1869,﻿,﻿,﻿Alton,Alton
﻿alt.il.0010,﻿church,﻿St. Peter's,English,,,,﻿St. Clair County,﻿St. Clair County,﻿Belleville,﻿Belleville,﻿IL,,,,,,,﻿a_pinkers_001,﻿Rev.,﻿A. Pinkers,,,,,,,,1869,﻿,﻿,﻿Alton,Alton
﻿alt.il.0011,﻿church,not recorded,English,,,,﻿Madison County,﻿Madison County,﻿Bethalto,﻿Bethalto,﻿IL,,,,﻿alt.il.0222,﻿Attended from Alton,,,,,,,,,,,,1869,﻿,﻿,﻿Alton,Alton
﻿alt.il.0012,﻿church,﻿St. Aloysius,English,,,,﻿Effingham County,﻿Effingham County,﻿Bishop,﻿Bishop Township,﻿IL,,,,﻿alt.il.0216,"﻿Attended by Rev. A. Wiewer, O.S.F.",,,,,,,,,,,,1869,﻿,﻿,﻿Alton,Alton
﻿alt.il.0013,﻿church,﻿St. John Baptist,English,,,,﻿Madison County,﻿St. Louis County,﻿Black Jack,﻿Black Jack,﻿IL,﻿MO,,,﻿alt.il.0244,﻿Attended from Collinsville,,,,,,,,,,,,1869,﻿,﻿,﻿Alton,Alton
﻿alt.il.0014,﻿church,﻿St. Joseph's,English,,﻿Fowler Station P.O.,,﻿Adams County,﻿Adams County,﻿Bloomfield,﻿Ellington Township,﻿IL,,,,,,,﻿t_cusack_001,﻿Rev.,﻿T. Cusack,,,,,,,,1869,﻿,﻿,﻿Alton,Alton
